asset,fills,notional,cash,fees,payout,prefee_pnl,net_pnl,prefee_pct,net_pct,taker_share_notional,avg_price,taker_fee_pct
btc,39828,1398174.57,1431120.58,32946.0,1423499.71,25325.14,-7620.87,1.811,-0.545,96.5,0.5333,2.443
eth,27459,434197.3,444740.34,10543.04,440913.58,6716.29,-3826.76,1.547,-0.881,98.4,0.5482,2.467
bitcoin,13495,386619.02,392394.71,5775.69,398873.83,12254.81,6479.12,3.17,1.676,59.2,0.5413,2.524
sol,17748,184122.22,188660.57,4538.35,188542.06,4419.83,-118.52,2.4,-0.064,98.3,0.5406,2.507
ethereum,11989,157201.39,160288.23,3086.84,158519.7,1318.31,-1768.53,0.839,-1.125,83.0,0.5235,2.366
xrp,14802,136772.46,140083.27,3310.82,141102.94,4330.49,1019.67,3.166,0.746,96.4,0.5412,2.511
bnb,8272,62872.31,64554.19,1681.88,65508.63,2636.32,954.44,4.193,1.518,100.0,0.5165,2.675
doge,6621,62247.14,63837.68,1590.53,64518.24,2271.1,680.57,3.649,1.093,100.0,0.5378,2.555
hype,6312,36777.89,37874.78,1096.89,38301.62,1523.73,426.84,4.143,1.161,100.0,0.4365,2.982
solana,1853,25705.19,26205.27,500.07,28274.39,2569.2,2069.13,9.995,8.049,74.6,0.5274,2.608
