family,fills,notional,cash,fees,payout,prefee_pnl,net_pnl,prefee_pct,net_pct,taker_share_notional,avg_price,taker_fee_pct
btc 5m,21473,760611.69,778872.91,18261.22,764335.07,3723.38,-14537.84,0.49,-1.911,96.9,0.5109,2.476
btc 15m,13610,495784.69,507175.49,11390.81,512267.28,16482.59,5091.79,3.325,1.027,97.4,0.5702,2.359
bitcoin 1h,11888,367153.34,372713.4,5560.05,378236.27,11082.93,5522.88,3.019,1.504,58.7,0.5373,2.579
eth 5m,15769,242355.26,248335.89,5980.63,243414.73,1059.47,-4921.16,0.437,-2.031,99.1,0.5401,2.489
eth 15m,9713,151838.94,155419.39,3580.45,154302.46,2463.52,-1116.93,1.622,-0.736,98.3,0.5786,2.4
btc 4h,4745,141778.19,145072.17,3293.98,146897.36,5119.16,1825.18,3.611,1.287,90.6,0.5385,2.563
ethereum 1h,9724,133439.15,136190.81,2751.66,134081.52,642.37,-2109.29,0.481,-1.581,83.1,0.504,2.483
sol 5m,10611,101846.4,104426.96,2580.56,103603.76,1757.36,-823.2,1.726,-0.808,99.2,0.5238,2.555
xrp 5m,8536,73415.83,75277.15,1861.32,75070.71,1654.88,-206.43,2.254,-0.281,99.9,0.5349,2.538
sol 15m,6250,58693.72,60071.52,1377.8,60178.7,1484.98,107.18,2.53,0.183,97.0,0.5687,2.42
bnb 5m,5876,44837.6,46053.64,1216.04,46236.78,1399.19,183.15,3.121,0.408,100.0,0.5112,2.712
xrp 15m,4574,44361.12,45453.9,1092.78,45763.71,1402.59,309.81,3.162,0.698,99.8,0.572,2.469
doge 5m,4602,43443.93,44573.95,1130.02,44707.89,1263.96,133.94,2.909,0.308,100.0,0.5275,2.601
eth 4h,1977,40003.09,40985.05,981.96,43196.39,3193.29,2211.34,7.983,5.528,94.9,0.4943,2.588
solana 1h,1853,25705.19,26205.27,500.07,28274.39,2569.2,2069.13,9.995,8.049,74.6,0.5274,2.608
hype 5m,3795,24101.84,24776.12,674.28,25171.73,1069.89,395.61,4.439,1.641,100.0,0.465,2.798
ethereum strike,2265,23762.24,24097.43,335.18,24438.18,675.93,340.75,2.845,1.434,82.7,0.6685,1.706
sol 4h,887,23582.1,24162.1,580.0,24759.6,1177.5,597.5,4.993,2.534,98.1,0.549,2.508
bitcoin strike,1607,19465.68,19681.31,215.63,20637.56,1171.88,956.25,6.02,4.912,68.1,0.6304,1.627
doge 15m,2019,18803.21,19263.72,460.51,19810.35,1007.14,546.63,5.356,2.907,100.0,0.5633,2.449
bnb 15m,2396,18034.71,18500.55,465.84,19271.84,1237.13,771.29,6.86,4.277,100.0,0.5301,2.583
hype 15m,2517,12676.05,13098.66,422.61,13129.89,453.84,31.23,3.58,0.246,100.0,0.3908,3.334
xrp 1h,1299,12464.79,12683.7,218.91,12931.91,467.12,248.21,3.748,1.991,63.8,0.4745,2.755
xrp 4h,393,6530.71,6668.52,137.81,7336.61,805.9,668.09,12.34,10.23,96.4,0.5615,2.188
