price_bucket,fills,notional,cash,fees,payout,prefee_pnl,net_pnl,prefee_pct,net_pct,taker_share_notional,avg_price,taker_fee_pct
0.0-0.1,10103,16513.16,17390.2,877.04,18158.61,1645.46,768.42,9.965,4.653,80.6,0.036,6.592
0.1-0.2,8974,38977.4,41030.15,2052.75,36503.29,-2474.11,-4526.86,-6.348,-11.614,88.6,0.1443,5.945
0.2-0.3,10485,74869.39,78488.0,3618.61,72333.2,-2536.18,-6154.8,-3.387,-8.221,92.7,0.2515,5.214
0.3-0.4,11594,122463.68,127603.67,5140.0,128831.9,6368.22,1228.22,5.2,1.003,92.4,0.3486,4.541
0.4-0.5,17268,265506.22,274778.42,9272.21,275557.32,10051.1,778.9,3.786,0.293,91.3,0.4513,3.827
0.5-0.6,23953,498741.15,513291.8,14550.65,505600.57,6859.41,-7691.23,1.375,-1.542,92.2,0.5464,3.164
0.6-0.7,25971,631690.01,646102.15,14412.14,649078.75,17388.74,2976.6,2.753,0.471,92.3,0.6455,2.472
0.7-0.8,22993,644774.93,655437.07,10662.14,654015.48,9240.56,-1421.58,1.433,-0.22,92.4,0.7432,1.79
0.8-0.9,13635,415590.63,419756.09,4165.46,428899.84,13309.21,9143.75,3.202,2.2,89.5,0.8397,1.12
0.9-1.0,4258,182228.0,182836.68,608.68,186268.05,4040.05,3431.37,2.217,1.883,83.5,0.9406,0.4
