decile,fills,notional,cash,fees,payout,prefee_pnl,net_pnl,prefee_pct,net_pct,taker_share_notional,avg_price,taker_fee_pct
0-10% elapsed,19108,448055.07,459849.72,11794.65,454616.57,6561.5,-5233.15,1.464,-1.168,92.7,0.5581,2.841
10-20% elapsed,15039,326531.2,333578.09,7046.89,333604.91,7073.71,26.83,2.166,0.008,91.6,0.6202,2.355
20-30% elapsed,15123,314532.68,321490.91,6958.23,319372.56,4839.88,-2118.35,1.539,-0.673,92.0,0.5938,2.404
30-40% elapsed,12354,248301.83,253824.74,5522.9,256942.97,8641.13,3118.23,3.48,1.256,89.8,0.5772,2.477
40-50% elapsed,14148,279217.97,285354.42,6136.45,285851.86,6633.88,497.43,2.376,0.178,89.3,0.5685,2.46
50-60% elapsed,13435,256662.99,262229.76,5566.77,271115.63,14452.63,8885.87,5.631,3.462,90.4,0.5433,2.4
60-70% elapsed,14263,250489.87,256214.42,5724.55,245227.33,-5262.53,-10987.08,-2.101,-4.386,91.3,0.489,2.504
70-80% elapsed,14072,246279.3,251874.82,5595.51,252705.99,6426.69,831.18,2.61,0.337,91.6,0.4557,2.48
80-90% elapsed,13006,250927.57,256412.54,5484.97,260483.79,9556.22,4071.25,3.808,1.622,91.7,0.4415,2.383
90-100% elapsed,7647,183685.19,187276.68,3591.48,184755.74,1070.54,-2520.94,0.583,-1.372,91.0,0.4999,2.149
