utc_hour,fills,notional,net_pnl_before_rebate
0,3353,60901,2605
1,3952,77260,1336
2,6510,131374,-3201
3,5714,90656,5251
4,5117,99791,-2550
5,5265,99633,2840
6,5622,86353,1459
7,6235,106645,5381
8,5049,103120,3905
9,6608,121124,-4741
10,4609,90052,-4143
11,4173,84644,-3436
12,5403,107018,2625
13,7033,104723,1417
14,10615,188430,2331
15,10120,220123,230
16,10819,243134,559
17,10290,209671,-6883
18,7308,142808,-5203
19,5831,137944,-5001
20,4147,85913,6367
21,5807,116131,-1054
22,4104,93390,-150
23,4695,83852,-1648
